attack,alpha,n_total_obs,gas_gain_mean,gas_gain_std,gas_AUC_mean,gas_AUC_std,DR_probe_mean,weak_evidence
alie,0.1,12,0.4167,1.2401,0.5976,0.0634,0.3087,NOISY
alie,0.25,12,3.3333,2.2293,0.8356,0.0467,0.1191,NOISY
gaussian_noise,0.1,12,0.0000,0.0000,1.0000,0.0000,1.0000,
gaussian_noise,0.25,12,0.0000,0.0000,1.0000,0.0000,1.0000,
label_flip,0.1,12,-0.1667,1.5275,0.5602,0.1269,0.3720,NOISY
label_flip,0.25,12,2.8333,1.7495,0.8132,0.0614,0.2607,NOISY
minmax,0.1,12,0.6667,1.7753,0.5875,0.1445,0.2655,NOISY
minmax,0.25,12,0.7500,2.2208,0.8034,0.1408,0.4511,NOISY
on_off,0.1,12,-2.9167,0.7930,0.7756,0.0643,1.0000,
on_off,0.25,12,-0.7500,0.4523,0.9848,0.0132,1.0000,NOISY
sign_flip,0.1,12,0.0000,0.0000,1.0000,0.0000,1.0000,
sign_flip,0.25,12,0.0000,0.0000,1.0000,0.0000,1.0000,
slow_poison,0.1,12,-4.5000,1.3817,0.5128,0.0929,0.8491,
slow_poison,0.25,12,-1.0833,1.3790,0.8624,0.0579,0.8212,NOISY
alie,0.5,12,2.6667,1.2309,0.7795,0.0872,0.1743,
alie,1.0,12,3.5000,1.5076,0.6509,0.0663,0.0000,
gaussian_noise,0.5,12,0.0000,0.0000,1.0000,0.0000,1.0000,
gaussian_noise,1.0,12,0.0000,0.0000,1.0000,0.0000,1.0000,
label_flip,0.5,12,1.7500,1.0553,0.7475,0.0707,0.3318,NOISY
label_flip,1.0,12,3.3333,1.0731,0.7416,0.1198,0.0104,
minmax,0.5,12,0.1667,0.3892,1.0000,0.0000,0.9694,NOISY
minmax,1.0,12,0.0833,1.1645,0.9787,0.0640,0.9456,NOISY
on_off,0.5,12,0.0000,0.0000,1.0000,0.0000,1.0000,
on_off,1.0,12,0.0000,0.0000,1.0000,0.0000,1.0000,
sign_flip,0.5,12,0.0000,0.0000,1.0000,0.0000,1.0000,
sign_flip,1.0,12,0.0000,0.0000,1.0000,0.0000,1.0000,
slow_poison,0.5,12,-0.8333,1.6967,0.8933,0.0496,0.8067,NOISY
slow_poison,1.0,12,0.6667,0.8876,0.9033,0.0619,0.6697,NOISY
