dataset,alpha,cosine_bin,n_flagged,reject_rate_if_flagged,n_accepted_by_l1,reject_rate_if_l1_accepted,flag_effect
cifar-10,0.1,<=0.80,136,1.0,6118,0.9978751225890814,0.002124877410918602
cifar-10,0.1,0.80-0.85,16,1.0,1875,0.004266666666666667,0.9957333333333334
cifar-10,0.1,0.85-0.90,12,1.0,1539,0.001299545159194282,0.9987004548408057
cifar-10,0.1,0.90-0.95,32,0.5,1524,0.006561679790026247,0.49343832020997375
cifar-10,0.1,0.95-1.00,354,0.7711864406779662,6725,0.011301115241635688,0.7598853254363305
cifar-10,0.25,<=0.80,12,1.0,2457,0.9975579975579976,0.0024420024420024333
cifar-10,0.25,0.80-0.85,8,1.0,785,0.011464968152866241,0.9885350318471338
cifar-10,0.25,0.85-0.90,22,1.0,1465,0.0061433447098976105,0.9938566552901024
cifar-10,0.25,0.90-0.95,21,0.047619047619047616,3967,0.008570708343836652,0.039048339275210966
cifar-10,0.25,0.95-1.00,367,0.3133514986376022,8821,0.008162339870762952,0.3051891587668393
cifar-10,0.5,<=0.80,24,1.0,2089,0.9985639061752034,0.0014360938247965915
cifar-10,0.5,0.80-0.85,6,1.0,727,0.012379642365887207,0.9876203576341128
cifar-10,0.5,0.85-0.90,6,0.5,1156,0.015570934256055362,0.4844290657439446
cifar-10,0.5,0.90-0.95,12,0.0,4320,0.01412037037037037,-0.01412037037037037
cifar-10,0.5,0.95-1.00,721,0.004160887656033287,11551,0.005280928058176781,-0.001120040402143494
cifar-10,1.0,<=0.80,5,1.0,1418,0.9978843441466855,0.002115655853314524
cifar-10,1.0,0.80-0.85,2,1.0,280,0.0,1.0
cifar-10,1.0,0.85-0.90,1,1.0,607,0.004942339373970346,0.9950576606260296
cifar-10,1.0,0.90-0.95,6,0.0,3167,0.009788443321755604,-0.009788443321755604
cifar-10,1.0,0.95-1.00,248,0.008064516129032258,15511,0.008510089613822448,-0.0004455734847901901
fashion-mnist,0.1,<=0.80,350,1.0,1728,0.9976851851851852,0.0023148148148147696
fashion-mnist,0.1,0.80-0.85,10,1.0,439,0.00683371298405467,0.9931662870159453
fashion-mnist,0.1,0.85-0.90,3,1.0,1036,0.01833976833976834,0.9816602316602316
fashion-mnist,0.1,0.90-0.95,22,0.22727272727272727,2573,0.014768752429071124,0.21250397484365613
fashion-mnist,0.1,0.95-1.00,642,0.8800623052959502,11241,0.00925184592118139,0.8708104593747688
fashion-mnist,0.25,<=0.80,24,1.0,1198,0.9991652754590985,0.0008347245409014992
fashion-mnist,0.25,0.80-0.85,9,1.0,376,0.005319148936170213,0.9946808510638298
fashion-mnist,0.25,0.85-0.90,9,1.0,644,0.007763975155279503,0.9922360248447205
fashion-mnist,0.25,0.90-0.95,19,0.2631578947368421,1293,0.0030935808197989174,0.26006431391704316
fashion-mnist,0.25,0.95-1.00,488,0.8504098360655737,13610,0.010139603232916973,0.8402702328326568
fashion-mnist,0.5,<=0.80,27,1.0,1272,0.9984276729559748,0.0015723270440252124
fashion-mnist,0.5,0.80-0.85,11,1.0,635,0.0,1.0
fashion-mnist,0.5,0.85-0.90,4,1.0,341,0.0,1.0
fashion-mnist,0.5,0.90-0.95,2,0.0,309,0.0,0.0
fashion-mnist,0.5,0.95-1.00,186,0.3279569892473118,18461,0.009641947890146796,0.31831504135716504
fashion-mnist,1.0,<=0.80,231,1.0,1370,1.0,0.0
fashion-mnist,1.0,0.80-0.85,68,1.0,547,0.010968921389396709,0.9890310786106032
fashion-mnist,1.0,0.85-0.90,54,1.0,172,0.0,1.0
fashion-mnist,1.0,0.90-0.95,22,0.9545454545454546,193,0.0,0.9545454545454546
fashion-mnist,1.0,0.95-1.00,372,0.3817204301075269,17971,0.008291135718657838,0.373429294388869
