dataset,alpha,metric,mean_correct,std_correct,mean_wrong,n_correct,n_wrong,separation
cifar-10,0.1,cosine,0.9739620253164555,0.02690174097786937,0.9816666666666666,79,18,0.28639935818835266
cifar-10,0.1,distance,205.45645569620254,83.86344197621138,238.0127777777778,79,18,0.3882063663784533
cifar-10,0.25,cosine,0.9799350649350649,0.013906016931660286,0.9782923076923077,77,195,0.1181328378090119
cifar-10,0.25,distance,102.05987012987012,38.29472182585681,108.40015384615384,77,195,0.1655654725765034
cifar-10,0.5,cosine,0.9790969101123594,0.007565216984332859,0.9288095238095238,712,21,6.647183604512343
cifar-10,0.5,distance,66.88338483146067,9.515594923842126,103.78904761904761,712,21,3.87843987506411
cifar-10,1.0,cosine,0.9839314516129033,0.010658070762488678,0.9855,248,4,0.14717001060053833
cifar-10,1.0,distance,62.86245967741935,9.163020911527386,44.379999999999995,248,4,2.0170705552104335
fashion-mnist,0.1,cosine,0.9912352941176471,0.016397058559746765,0.958674418604651,51,43,1.9857753995542846
fashion-mnist,0.1,distance,226.9966666666667,47.91159795567945,200.70093023255814,51,43,0.5488386435875796
fashion-mnist,0.25,cosine,0.992864864864865,0.01407748825876534,0.97024,37,50,1.607166310423145
fashion-mnist,0.25,distance,205.6843243243243,39.46713594460168,126.25160000000001,37,50,2.0126295567993733
fashion-mnist,0.5,cosine,0.9921190476190476,0.00812463625559412,0.91,126,1,10.107412201069982
fashion-mnist,0.5,distance,75.05023809523807,15.409619461325356,161.54,126,1,5.612712378902774
fashion-mnist,1.0,cosine,0.9915921787709497,0.011288661172565382,0.9963653846153845,179,52,0.4228318816083326
fashion-mnist,1.0,distance,58.0,8.555531688440533,54.903076923076924,179,52,0.3619790317774593
