dataset,attack,alpha,seed,final_acc,seed_collapsed,mean_DR_all_rounds,mean_n_accepted_all_rounds
cifar-10,minmax,0.1,42,0.089,True,,18.2
cifar-10,minmax,0.1,123,0.0975,True,,14.675
cifar-10,minmax,0.1,777,0.0965,True,,17.675
cifar-10,minmax,0.25,42,0.0955,True,,17.675
cifar-10,minmax,0.25,123,0.098,True,,16.875
cifar-10,minmax,0.25,777,0.1255,True,,14.65
cifar-10,minmax,1.0,42,0.4835,False,,16.7
cifar-10,minmax,1.0,123,0.6685,False,,16.725
cifar-10,minmax,1.0,777,0.131,True,,16.525
fashion-mnist,alie,0.1,42,0.0925,True,,21.775
fashion-mnist,alie,0.1,123,0.769,False,,21.875
fashion-mnist,alie,0.1,777,0.093,True,,21.65
fashion-mnist,alie,0.25,42,0.896,False,,22.025
fashion-mnist,alie,0.25,123,0.898,False,,21.9
fashion-mnist,alie,0.25,777,0.09,True,,22.175
fashion-mnist,alie,0.5,42,0.087,True,,19.975
fashion-mnist,alie,0.5,123,0.0925,True,,19.85
fashion-mnist,alie,0.5,777,0.0985,True,,20.425
fashion-mnist,minmax,0.1,42,0.1,True,,15.025
fashion-mnist,minmax,0.1,123,0.102,True,,17.075
fashion-mnist,minmax,0.1,777,0.1015,True,,16.15
fashion-mnist,minmax,0.25,42,0.1105,True,,18.275
fashion-mnist,minmax,0.25,123,0.0885,True,,19.375
fashion-mnist,minmax,0.25,777,0.1,True,,19.075
fashion-mnist,minmax,0.5,42,0.0695,True,,17.7
fashion-mnist,minmax,0.5,123,0.9035,False,,16.875
fashion-mnist,minmax,0.5,777,0.9005,False,,16.675
