dataset,alpha_group,module,DR_mean,FPR_mean,n_cells
cifar-10,MAIN_0.25-1.0,Final,0.5959597033550784,0.04789393225114709,21
cifar-10,MAIN_0.25-1.0,L1,0.3050993860404794,0.019981301876278675,21
cifar-10,MAIN_0.25-1.0,L2,0.5959597033550784,0.04789393225114709,21
cifar-10,REFERENCE_0.1,Final,0.6285190361711346,0.33328221088646315,7
cifar-10,REFERENCE_0.1,L1,0.27272809546485555,0.013745577196493473,7
cifar-10,REFERENCE_0.1,L2,0.6285190361711346,0.33328221088646315,7
fashion-mnist,MAIN_0.25-1.0,Final,0.5614841802069171,0.032196823563122125,21
fashion-mnist,MAIN_0.25-1.0,L1,0.29296714485603453,0.021073781127637657,21
fashion-mnist,MAIN_0.25-1.0,L2,0.5614841802069171,0.032196823563122125,21
fashion-mnist,REFERENCE_0.1,Final,0.5968282461942629,0.0956937248650408,7
fashion-mnist,REFERENCE_0.1,L1,0.22590618388547903,0.054575833176153644,7
fashion-mnist,REFERENCE_0.1,L2,0.5968282461942629,0.0956937248650408,7
