attack,alpha,delta_DR,sem_pooled_DR,significant_DR,delta_FPR,sem_pooled_FPR,significant_FPR,delta_acc,sem_pooled_acc,significant_acc,gas_only_caught_mean,gas_false_flag_mean,verdict
alie,0.1,0.177424,0.015395,True,0.155311,0.010866,True,-0.034579,0.010505,True,0.845833,2.166667,GAS_HẠI
alie,0.25,0.163877,0.011458,True,0.003795,0.004575,False,0.001523,0.007577,False,1.045833,1.075000,GAS_GIÚP
alie,0.5,0.049523,0.010149,True,0.019619,0.005567,True,0.000358,0.006531,False,0.254167,0.554167,GAS_GIÚP
alie,1.0,0.181642,0.010919,True,0.071147,0.004131,True,-0.006731,0.006476,False,1.287500,1.295833,GAS_HẠI
gaussian_noise,0.1,0.000000,0.000000,False,0.012137,0.008779,False,0.011079,0.010764,False,0.000000,0.512500,NHIỄU
gaussian_noise,0.25,0.000000,0.000000,False,0.001693,0.004567,False,-0.010685,0.008443,False,0.000000,0.608333,GAS_HÒA
gaussian_noise,0.5,0.000000,0.000000,False,-0.005970,0.002512,True,0.012298,0.007348,False,0.000000,0.045833,GAS_HÒA
gaussian_noise,1.0,0.000000,0.000000,False,0.009993,0.001744,True,-0.012917,0.007812,False,0.000000,0.183333,GAS_HÒA
label_flip,0.1,0.113707,0.015301,True,0.130104,0.010726,True,-0.022971,0.008950,True,0.550000,1.883333,GAS_HẠI
label_flip,0.25,0.122435,0.013418,True,0.008263,0.004731,False,-0.006608,0.007586,False,0.741667,1.129167,GAS_GIÚP
label_flip,0.5,0.096893,0.011412,True,0.024377,0.005584,True,0.012188,0.006238,False,0.516667,0.595833,GAS_HẠI
label_flip,1.0,0.230434,0.010885,True,0.055940,0.004073,True,0.008790,0.006950,False,1.545833,1.029167,GAS_HẠI
minmax,0.1,0.145318,0.032114,True,0.105838,0.029385,True,-0.001717,0.001532,False,0.316667,1.550000,GAS_HẠI
minmax,0.25,0.075943,0.027133,True,0.049633,0.017710,True,0.033417,0.005980,True,0.633333,1.404167,GAS_HẠI
minmax,0.5,0.003419,0.003426,False,-0.011520,0.006407,False,0.005202,0.008002,False,0.058333,0.054167,NHIỄU
minmax,1.0,0.051693,0.006567,True,-0.006733,0.003903,False,0.174690,0.014312,True,0.379167,0.137500,GAS_GIÚP
on_off,0.1,0.092265,0.026715,True,0.121849,0.010955,True,-0.007731,0.010285,False,0.475000,1.833333,GAS_HẠI
on_off,0.25,0.108477,0.031429,True,0.006169,0.004870,False,-0.000648,0.008034,False,0.845833,1.345833,GAS_GIÚP
on_off,0.5,0.067101,0.032409,True,0.045347,0.005770,True,-0.002629,0.007405,False,0.466667,1.083333,GAS_HẠI
on_off,1.0,0.046903,0.035964,False,0.095230,0.005517,True,0.003515,0.007398,False,0.320833,1.716667,GAS_HẠI
sign_flip,0.1,0.000000,0.000000,False,0.041619,0.009229,True,0.003579,0.009764,False,0.000000,0.616667,GAS_HẠI
sign_flip,0.25,0.000000,0.000000,False,0.008843,0.004672,False,0.004238,0.008056,False,0.000000,0.620833,GAS_HÒA
sign_flip,0.5,0.000000,0.000000,False,0.001048,0.002303,False,0.000123,0.007517,False,0.000000,0.041667,GAS_HÒA
sign_flip,1.0,0.000000,0.000000,False,0.145355,0.021831,True,-0.078008,0.014247,True,0.000000,0.200000,GAS_HẠI
slow_poison,0.1,0.031570,0.012994,True,0.175629,0.010936,True,-0.023967,0.009955,True,0.066667,3.112500,GAS_HẠI
slow_poison,0.25,0.022652,0.013210,False,0.000275,0.004682,False,-0.004731,0.008240,False,0.179167,0.733333,NHIỄU
slow_poison,0.5,0.010399,0.013374,False,0.011128,0.002966,True,0.003996,0.007345,False,0.087500,0.183333,GAS_HÒA
slow_poison,1.0,0.035856,0.015121,True,0.022481,0.002740,True,0.003373,0.007652,False,0.037500,0.408333,GAS_HẠI
